name,brand,price,img,description,url
Kit 3pçs Meia DC Shoes Cano Baixo Ano Todo Branco/Preto/Cinza,DC Shoes,"R$ 17,99",https://static.dafiti.com.br/p/DC-Shoes-Kit-3pçs-Meia-DC-Shoes-Cano-Baixo-Ano-Todo-Branco/Preto/Cinza-0986-3244514-1-zoom.jpg,"Kit 3pçs Meia DC Shoes Cano Baixo Ano Todo Branco/Preto/CinzaEstampa/Padronagem: LetteringTamanho: 39 ao 42Material: AlgodãoComposição: 82% algodão, 7% poliamida, 6% poliéster, 3% elastano e 2% elastodienoTipo de Tecido: MalhaLavagem: Lavar à mãoCaracterísticas Especiais: O kit é composto por 3 pares de meias soquete sendo uma branca, uma preta e uma cinza",https://www.dafiti.com.br/Kit-3pcs-Meia-DC-Shoes-Cano-Baixo-Ano-Todo-Branco%2FPreto%2FCinza-4154423.html
Camiseta Joss Corte a Fio Line Skull Preto,Joss,"R$ 59,90",https://static.dafiti.com.br/p/Joss-Camiseta-Joss-Corte-a-Fio-Line-Skull-Preto-2942-5534406-1-zoom.jpg,"Camiseta Masculina com caimento reto, máxima qualidade e conforto para o seu dia a dia.  Composição: 100% Algodão Egípcio Tipo de Tecido: Malha 30.1 Gola: Canoa Tipo de Produto: Camiseta Modelagem: Reta Manga: Curta Garantia: 7 dias após o recebimento   Compre sem medo, oferecemos a primeira troca grátis para defeitos, tamanhos, modelos ou devolução :) Ainda está com dúvidas? Entre em contato, vamos te ajudar",https://www.dafiti.com.br/Camiseta-Joss-Corte-a-Fio-Line-Skull-Preto-6044355.html
Camiseta Mr Kitsch Logo Branca/Preta,Mr Kitsch,"R$ 38,99",https://static.dafiti.com.br/p/Mr-Kitsch-Camiseta-Mr-Kitsch-Logo-Branca/Preta-3784-1282694-1-zoom.jpg,"Camiseta Mr Kitsch Logo Branca/PretaModelagem: RetaManga: CurtaGola: RedondaTamanho: MMaterial: AlgodãoComposição: 100% algodãoTipo de Tecido: MalhaLavagem: Pode ser lavado na máquinaMedidas da peça: Ombro: 14cm/ Ombro a Ombro: 48cm/ Manga: 25cm/ Tórax: 110cm /Comprimento: 71cmMedidas Modelo: Altura 1,88m / Tórax 98cm / Manequim 40.",https://www.dafiti.com.br/Camiseta-Mr-Kitsch-Logo-Branca%2FPreta-4962821.html
Camiseta Aramis Vazada Azul-Marinho,Aramis,"R$ 79,99",https://static.dafiti.com.br/p/Aramis-Camiseta-Aramis-Vazada-Azul-Marinho-0112-1562957-1-zoom.jpg,"Camiseta Aramis Vazada Azul-MarinhoManga: CurtaGola: RedondaMedidas da peça no tamanho M: Ombro: 14cm/ Ombro a Ombro: 48cm/ Manga: 22cm/ Tórax: 108cm /Comprimento: 73cmMedidas do Modelo: Altura 1,91cm/ Tórax 91cm/ Manequim 38.",https://www.dafiti.com.br/Camiseta-Aramis-Vazada-Azul-Marinho-7592651.html
Calça Jeans Versatti Tradicional Preta Berlim 2,Versatti,"R$ 79,90",https://static.dafiti.com.br/p/Versatti-Calça-Jeans-Versatti-Tradicional-Preta-Berlim-2-2126-8841884-1-zoom.jpg,"Calça masculina confeccionada em jeans, com corte reto, cor preta tradicional, passantes no cós para melhor ajuste, fechamento por botão e zíper no entremeio, bolsos traseiros e frontais simples, mini bolso porta-moeda, cintura média e etiqueta da marca.Se existe uma peça de roupa que é a queridinha entre todo mundo, seja homem ou mulher, é a calça jeans. Todo mundo tem uma peça no guarda-roupa, não importa a classe social. Seja de modelagem ajustada ou mais larga, de lavagem escura ou clara, o jeans combina com tudo e está presente desde uma ocasião mais casual até uma bem sofisticada.Composição: 98% algodão 2% elastano",https://www.dafiti.com.br/Calca-Jeans-Versatti-Tradicional-Preta-Berlim-2-4881488.html
Kit New Life Com 6 Pares De Meias De Algodão Colors Sports 39 A 43,New Life,"R$ 39,90",https://static.dafiti.com.br/p/New-Life-Kit-New-Life-Com-6-Pares-De-Meias-De-Algodão-Colors-Sports-39-A-43-3341-7756364-1-zoom.jpg,"Kit com 6 Pares de Meias Branca, Cinza e Preta.Alta tecnologia e conforto com Costuras firmes, interior respirável e macio. Meia ideal para o dia a dia.Modelo Cano Médio Gênero: Unissex Indicado para: Dia a Dia Altura do Cano: Cano Médio Veste do numero 39 ao 43 e 37 a 39Cor: Branca / Cinza / Preta Composição: 88% Algodão, 2% Lycra e 10% PoliamidaOrigem: Nacional Garantia do Fabricante: Contra defeito de fabricação Conteudo da Embalagem: 6 pares de meias das tres cores",https://www.dafiti.com.br/Kit-New-Life-Com-6-Pares-De-Meias-De-Algodao-Colors-Sports-39-A-43-4636577.html
Kit com 10 Cuecas Boxer Box Try Basics Algodão Cotton Lisa Básica Casual Moda Masculina Colorido,Try Basics,"R$ 89,90",https://static.dafiti.com.br/p/Try-Basics-Kit-com-10-Cuecas-Boxer-Box-Try-Basics-Algodão-Cotton-Lisa-Básica-Casual-Moda-Masculina-Colorido-0595-3353298-1-zoom.jpg,"Nossos produtos oferecem o essencial conforto e a sensação de bem estar. Uma modelagem que proporciona o caimento perfeito. Nossa Cueca Boxer básica possui costuras resistentes, elástico confortável com interior aveludado para evitar a irritação na pele e facilita a transpiração.  Material: Cotton (Algodão) Composição Cueca: 95% Algodão e 5% Elastano Composição Forro: 100% Algodão Modelagem: Boxer Estampa: Lisa Ocasião de uso: Casual Lavagem: Pode ser lavado na maquina  MEDIDAS: P:Cintura 70cm / Cintura Esticada 100cm / Altura 26cm / Manequim 34/36 M:Cintura 74cm / Cintura Esticada 120cm / Altura 27cm / Manequim 38/40 G:Cintura 76cm / Cintura Esticada 124cm / Altura 28cm / Manequim 42/44 GG:Cintura 80cm / Cintura Esticada 132cm / Altura 29cm / Manequim 46/318",https://www.dafiti.com.br/Kit-com-10-Cuecas-Boxer-Box-Try-Basics-Algodao-Cotton-Lisa-Basica-Casual-Moda-Masculina-Colorido-8923533.html
Calça Masculina Chino Sarja com Elastano Skinny,ECXO JEANS,"R$ 79,90",https://static.dafiti.com.br/p/ECXO-JEANS-Calça-Masculina-Chino-Sarja-com-Elastano-Skinny-6827-1828778-1-zoom.jpg,"Calça Masculina Chino Sarja com Elastano Corte Skinny , em tecido de algodão e elastano. As calças são indispensáveis no dia a dia dos homens, seja para looks casuais ou formais, elas esbanjam conforto e estilo. O modelo skinny tem caimento mais ajustado ao corpo, possui fechamento por zíper e botão, passantes para cinto, bolsos funcionais estilo faca na parte frontal e bolsos costas embutidos. Você pode combinar com camisas e camisetas Caps Co e completar combinações super estilosas. Invista!",https://www.dafiti.com.br/Calca-Masculina-Chino-Sarja-com-Elastano-Skinny-8778281.html
Kit 4pçs Cueca Calvin Klein Underwear Boxer Logo Preto/Branco,Calvin Klein Underwear,"R$ 164,99",https://static.dafiti.com.br/p/Calvin-Klein-Underwear-Kit-4pçs-Cueca-Calvin-Klein-Underwear-Boxer-Logo-Preto/Branco-4708-1626555-1-zoom.jpg,Kit 4pçs Cueca Calvin Klein Underwear Boxer Logo Preto/BrancoMedidas da peça no tamanho M: Cintura: 72cm /Lateral: 22cm /Comprimento: 28cm (medidas sem elasticidade),https://www.dafiti.com.br/Kit-4pcs-Cueca-Calvin-Klein-Underwear-Boxer-Logo-Preto%2FBranco-5556261.html
Camiseta Joss Corte a Fio Rock In Chumbo,Joss,"R$ 59,90",https://static.dafiti.com.br/p/Joss-Camiseta-Joss-Corte-a-Fio-Rock-In-Chumbo-6506-0597174-1-zoom.jpg,"Camiseta Masculina com caimento reto, máxima qualidade e conforto para o seu dia a dia.  Composição: 100% Algodão Egípcio Tipo de Tecido: Malha 30.1 Gola: Canoa Tipo de Produto: Camiseta Modelagem: Reta Manga: Curta Garantia: 7 dias após o recebimento   Compre sem medo, oferecemos a primeira troca grátis para defeitos, tamanhos, modelos ou devolução :) Ainda está com dúvidas? Entre em contato, vamos te ajudar",https://www.dafiti.com.br/Camiseta-Joss-Corte-a-Fio-Rock-In-Chumbo-4717950.html
